publication,year,wordRate,wordCount,flatRate,totalPaid,paymentDifficulty,daysToBePaid,storyType,levelOfReporting,relationship,rights,platform,contract,comment
Vdare,2018,0.15,1000.0,False,150.0,2.0,60,Opinion,Medium,Cold Pitch,Unknown/Other,Digital,No,"""Cold-pitching can be a bit hard, but is worth it. You just have to email the Editor, Peter Brimelow, over and over again. Be merciless about that and you'll get published and paid!"""
Aarp Bulletin,2018,2.0,200.0,False,400.0,2.0,30,,Medium,Cold Pitch,All,Print,Verbal,"""Was substantially revised by editor, and not bylined, both unanticipated. Cordial relationship.."""
Aarp Bulletin,2018,2.0,200.0,False,400.0,2.0,,FoB,Heavy,Referral,All,Digital,Yes,"""Paid on acceptance. Heavily factual & fact-checked, based on l-t knowledge&research"""
Aarp Bulletin,2016,2.0,500.0,False,1000.0,1.0,15,Profile,Medium,Cold Pitch,First,Print,Yes,
Aarp Bulletin,2015,1.6,750.0,False,1200.0,,,News,Medium,Ongoing,All,Digital,Yes,"""Editors are easy to work with, long-term pros in the market, but the fact-checking is something to get used to. Not a problem, just different from most publications in this price range. But they pay well and on time. """
Mental Floss,2018,0.19,892.0,False,169.48,3.0,60,FoB,Light,Cold Pitch,Unknown/Other,Digital,Yes,"""What a hassle! Not only was editor very difficult to work with (odd, non-nonsensical edits, clearly was unfamiliar with subject), their payment process is a pain the in neck. They do not pay by direct deposit, check, or any conventional way, requiring you set up a Payoneer or PayPal account. And of course, the editor doesn't tell you this after the invoice is overdue due. Payment comes from an account in Israel so on top of Payoneer/PayPal's regular fees, you have to pay a foreign exchange fee that the editor also doesn't tell you about. So their crappy pay rate just keeps getting lower as you're paying fee after fee just to get some small amount of cash. Never writing for these people again!"""
Mental Floss,2018,0.25,800.0,False,200.0,1.0,30,News,Medium,Assignment,All,Digital,Yes,
Mental Floss,2014,0.8,125.0,False,100.0,,,News,Medium,Cold Pitch,First,Digital,No,
Mental Floss,2013,0.2,500.0,False,100.0,,,News,,,,Digital,,
Sofi,2018,0.23,1500.0,False,345.0,2.0,30,Blog,Light,Ongoing,Unknown/Other,Digital,Yes,
Headstuff.org,2017,0.01,800.0,False,8.0,1.0,30,Feature,Light,Ongoing,First,Digital,No,
The Fresh Toast,2018,0.05,2000.0,False,100.0,3.0,90,Criticism,Medium,Cold Pitch,First,Digital,No,"""Sent them a story already written, which they accepted and published without showing me a final draft or discussion of a rate. When I asked, I was offered $80. I negotiated to $100, but they said they didn't have much."""
High Country News,2018,0.5,1200.0,False,600.0,3.0,30,News,Heavy,Cold Pitch,Unknown/Other,Digital,,"""Excellent, rigorous editing. They pay by check."""
New York Magazine,2017,2.0,2800.0,False,5600.0,1.0,30,Feature,Heavy,Assignment,First,Digital,Yes,
New York Magazine,2016,0.2,2000.0,False,400.0,2.0,60,Feature,Medium,Referral,All,Digital,Yes,"""Thoughtful, communicative editor"""
New York Magazine,2016,0.38,1200.0,False,456.0,1.0,60,,,,All,Digital,,
New York Magazine,2016,0.75,1000.0,False,750.0,2.0,42,News,Medium,Referral,First,Digital,No,
New York Magazine,2013,,,True,500.0,,,News,,,,,,
New York Magazine,2013,0.63,800.0,False,504.0,,,,,,,Digital,,
New York Magazine,2013,,,,,,,,,,,Print,,"""Intel Section"""
New York Magazine,2012,0.75,1000.0,False,750.0,,,Feature,,,,,,"""""I've heard about $200 less is more standard."""""
New York Magazine,2012,,,,,,,Feature,,,,Print,,
New York Magazine,2012,,,,,,,,,,,Print,,"""""$2 per word if you're a name"""""
New York Magazine,2012,0.75,1000.0,False,750.0,,,Feature,,,,,,"""""about 200 less is more standard."""""
Citiscope,2017,0.33,1500.0,False,495.0,2.0,15,Feature,Medium,Cold Pitch,Unknown/Other,Digital,Verbal,
Sb Nation Longform,2014,0.25,8000.0,False,2000.0,,,Profile,Heavy,Ongoing,First,Digital,,"""You'll work very hard for your money at SB Nation Longform. (I'd estimate I put in about 250 hours for this story.) But the check will come on time, and you'll have one of the most fulfilling experiences of your career, from a creative standpoint. """
Byrdie,2018,0.14,1250.0,False,175.00000000000003,5.0,Not Yet,Opinion,Light,Cold Pitch,Unknown/Other,Digital,Yes,
Byrdie,2016,0.03,800.0,False,24.0,4.0,90,Opinion,Light,Cold Pitch,All,Print,No,"""Terrible rate and takes forever to get paid. Do not offer to write for this pub."""
Byrdie,2016,0.1,500.0,False,50.0,4.0,60,,,,All,Digital,,"""Payments consistently late."""
Byrdie,2016,0.06,800.0,False,48.0,4.0,60,Blog,Medium,Cold Pitch,All,,Yes,
Awp,2018,0.18,2700.0,False,486.0,3.0,60,Feature,Medium,Cold Pitch,Unknown/Other,Digital,,"""Slow responses, minimal edits, payment by check."""
Chamber Music America,2016,0.4,3000.0,False,1200.0,2.0,42,,,,First,Digital,,
Cracked,2018,0.12,2100.0,False,252.0,1.0,15,Feature,Medium,Ongoing,All,Digital,Yes,
Cracked,2017,0.1,2500.0,False,250.0,1.0,15,Feature,Medium,Ongoing,All,Digital,Yes,
Cracked,2016,0.11,1400.0,False,154.0,3.0,30,Opinion,Medium,Cold Pitch,Unknown/Other,Digital,Yes,"""The process of pitching is arduous and time-consuming. You put an idea on a message board, hope a moderator picks it up, hope it then goes to an editor, and go through rounds and rounds of ideas being discarded. Not one for the faint hearted."""
Complex,2017,0.5,1000.0,False,500.0,1.0,15,Profile,Medium,Assignment,All,Digital,Yes,
Complex,2017,0.33,750.0,False,247.5,1.0,60,,,,Secondary,Digital,,
Complex,2017,0.11,1875.0,False,206.25,1.0,60,FoB,Medium,Cold Pitch,All,Digital,Yes,
Complex,2017,0.19,1300.0,False,247.0,1.0,42,Profile,Medium,Ongoing,Unknown/Other,Digital,No,
Complex,2016,0.16,2500.0,False,400.0,1.0,30,Feature,Medium,Assignment,Unknown/Other,Digital,Yes,"""Editor approached me and provided contacts to interview. Little to no edits from draft to final version, and paid in a reasonable amount of time. Good experience overall."""
Complex,2016,0.27,3000.0,False,810.0,,,Feature,Medium,Assignment,,Digital,Yes,
Complex,2016,0.22,1113.0,False,244.86,1.0,30,Opinion,Medium,Solicited Pitch,Unknown/Other,Digital,Yes,
Complex,2016,0.21,1200.0,False,252.0,1.0,30,Feature,Medium,Cold Pitch,Unknown/Other,Digital,Yes,
Complex,2013,0.27,750.0,False,202.5,,,,,,,,,"""""10-item listicle of ~750 words total...payment recieved in 2 weeks."""""
Galore,2017,0.0,1000.0,False,0.0,,,Profile,Medium,Cold Pitch,Unknown/Other,Digital,No,"""I just wanted to clarify that I did not end up submitting a piece that I pitched to Galore after I found out that they did not pay freelancers. I initially contacted one of the senior editors to see if they would be interested in publishing an interview that I had recently done with an artist and this is what she replied back: ""We don't have a budget for freelancers right now though unfortunately, so if you want to pitch to somewhere else that will pay, I understand. Let me know if you'd like to do it unpaid!"""""
"Little Ones, Charlotte Edition",2014,0.13,750.0,False,97.5,,,Profile,Medium,Assignment,All,Print,No,
Granta,2018,0.05,5500.0,False,275.0,1.0,42,Opinion,,,First,Digital,,
Granta,2017,0.33,1800.0,False,594.0,1.0,30,,,,First,Digital,,
Granta,2012,,,,,,,Feature,,,,Print,,
Granta,2012,,,,,,,,,,,,,
Documented,2018,0.13,1561.0,False,202.93,1.0,15,Feature,Medium,Referral,Unknown/Other,Digital,No,
Podiatry Management Magazine,2018,0.16,2500.0,False,400.0,3.0,42,Opinion,Light,Referral,First,Digital,No,
The Parallax,2018,0.83,1200.0,False,996.0,5.0,,Feature,Heavy,Cold Pitch,Unknown/Other,Digital,Verbal,"""No amount of pay would make this website and its toxic, abusive editor worth writing for."""
The Parallax,2018,0.63,1600.0,False,1008.0,5.0,Not Yet,,,,All,,,
This American Life (radio),2013,,,True,1150.0,,,,,,,,,
Bullett,2013,0.07,1500.0,False,105.00000000000001,,,Criticism,Light,Assignment,,Digital,No,
D Magazine,2017,1.0,450.0,False,450.0,1.0,15,,,,All,Print,,
D Magazine,2017,1.0,450.0,False,450.0,1.0,15,FoB,Light,Ongoing,Unknown/Other,Digital,No,
American Banker,2014,1.0,375.0,False,375.0,,,Profile,Medium,Assignment,First,Digital,Yes,"""Loved working for this publication, very professional, paid quickly and the editing process was seamless."""
Maisonneuve,2018,0.1,2000.0,False,200.0,3.0,Not Yet,Opinion,Medium,Ongoing,First,Digital,Yes,
Maisonneuve,2017,0.1,4000.0,False,400.0,4.0,Not Yet,,,,First,Print,,
Maisonneuve,2016,0.1,2200.0,False,220.0,4.0,>90,Feature,Medium,Spec,First,Digital,Yes,
Maisonneuve,2016,0.0,1000.0,False,0.0,4.0,>90,Opinion,Medium,Solicited Pitch,First,Print,Yes,"""Took more than 6 months to get paid, and I had to hassle them multiple times."""
Maisonneuve,2013,,,,,,,,,,,,,
Ozy,2018,0.63,1600.0,False,1008.0,2.0,30,,,,All,Digital,Yes,
Ozy,2017,0.28,900.0,False,252.00000000000003,1.0,42,Opinion,Heavy,Cold Pitch,Unknown/Other,Digital,Yes,"""Enjoyed working with them. Timely and courteous, despite a bit of back and forth confusion. Great graphics."""
Ozy,2017,0.56,900.0,False,504.00000000000006,2.0,90,Feature,Medium,Solicited Pitch,Unknown/Other,Digital,Yes,
Ozy,2017,0.35,852.0,False,298.2,5.0,90,News,Light,Referral,First,Digital,No,"""Pain in the @ss client. The editor is professional, but has this really confusing, times-taking way of processing edits: You have to load each revision into the body of an email using a color-coded, bolding system with parenthetical notes inside the copy. She also added an additional interview in her edit requests. (If I'd known two interviews were required, I would have asked for a higher rate.) Before writing, I asked if there was a contract & she said no; after the piece was edited, she sent a contract that she said I had to sign if I wanted to be paid. The contract not only demanded full work for hire rights (I'd sold first-run) but also demanded I never write about the topic or anything connected to it again. I told her I of course couldn't sign that. For the next month, she continued saying they wouldn't pay until I signed. Then she sent an ""alternate"" contract that asked for the exact same rights as the first! Took three months to get paid."""
Ozy,2016,0.4,750.0,False,300.0,3.0,Not Yet,,,,First,Digital,,
Ozy,2016,0.56,900.0,False,504.00000000000006,2.0,60,Feature,Medium,Cold Pitch,All,Digital,Yes,
Ozy,2016,0.63,800.0,False,504.0,2.0,30,Feature,Medium,Cold Pitch,First,Digital,Yes,
Ozy,2015,0.47,750.0,False,352.5,,,Opinion,Light,Solicited Pitch,First,Digital,Yes,"""The piece hasn't been published yet, but I was paid a month after I submitted the invoice."""
Ozy,2015,0.47,750.0,False,352.5,,,Opinion,Light,Solicited Pitch,First,Digital,Yes,"""The piece actually hasn't run yet, though I was paid within 2 weeks of it being accepted for publication."""
Literary Hub,2017,0.07,2000.0,False,140.0,2.0,Not Yet,Feature,Medium,Cold Pitch,Unknown/Other,Digital,No,"""Positive editor, limited edits."""
Literary Hub,2017,0.2,1000.0,False,200.0,5.0,Not Yet,Opinion,Medium,Cold Pitch,First,Digital,Verbal,"""Editor was good to work with. But the piece ran three months ago and I haven't been paid. I haven't received responses to my follow-up requests either."""
Literary Hub,2017,0.07,2000.0,False,140.0,1.0,Not Yet,Opinion,Light,,Unknown/Other,Digital,No,
Literary Hub,2017,0.1,2500.0,False,250.0,3.0,Not Yet,News,Heavy,Cold Pitch,Unknown/Other,Digital,No,
Literary Hub,2017,0.14,1400.0,False,196.00000000000003,2.0,30,Criticism,Medium,Cold Pitch,Unknown/Other,Digital,No,
Literary Hub,2017,0.07,2800.0,False,196.00000000000003,1.0,15,Feature,Medium,Referral,First,Digital,Yes,"""Wonderful edits and a pleasant working relationship."""
South Florida Gay News,2017,0.07,300.0,False,21.000000000000004,1.0,15,News,Light,Ongoing,Unknown/Other,Digital,No,
South Florida Gay News,2017,0.08,500.0,False,40.0,1.0,15,News,Medium,Ongoing,Unknown/Other,Digital,Yes,"""The pay is low, but the editor and staff are a pleasure to work with. If you can quickly write a news story for this audience, go for it."""
South Florida Gay News,2016,0.06,750.0,False,45.0,,,Opinion,Light,Ongoing,Secondary,Digital,Yes,"""They chose to run an already syndicated column and writers must submit a W9 to the editor upon acceptance of a column or running series"""
Stereogum,2015,0.07,3000.0,False,210.00000000000003,,,Opinion,Medium,Cold Pitch,,Digital,Verbal,
El Pais,2018,0.31,700.0,False,217.0,1.0,42,Opinion,Light,Ongoing,Unknown/Other,Digital,Verbal,
El Pais,2016,0.07,600.0,False,42.00000000000001,2.0,42,,,,All,Print,,"""What they pay: (you have to rest taxes, IRPF is 15%)

An article on the web: 30 euros
A column: 43
A half column: 22-36
An 800-900 word article with a photo: 65-110, it depends on the proportion of the page it occupies, the photo isn't included in the price, but it helps occupy more space
Contra: 110

You'll get paid on the 20th of the following month."""
El Pais,2016,0.05,600.0,False,30.0,2.0,42,,,,All,Digital,,
El Pais,2016,0.09,800.0,False,72.0,2.0,42,,,,All,Print,,"""Explotadores"""
El Pais,2013,0.03,1550.0,False,46.5,,,Blog,,,,Digital,,"""40 euros"""
Conde Nast Traveler,2017,2.0,550.0,False,1100.0,1.0,15,Opinion,Light,Referral,Unknown/Other,Print,Yes,"""A good writing/editing/payment experience."""
Conde Nast Traveler,2016,0.86,350.0,False,301.0,1.0,42,News,Light,Ongoing,All,Digital,Yes,
Conde Nast Traveler,2013,,,,,,,News,,,,Digital,,
Art Papers,2018,0.12,800.0,False,96.0,2.0,60,Criticism,Medium,Assignment,Unknown/Other,Print,No,"""Never got to see edits or final proof before printing. Slow to reply to e-mails. Fast payment."""
Art Papers,2016,0.13,800.0,False,104.0,1.0,60,Criticism,Medium,Cold Pitch,Unknown/Other,Digital,No,"""Editors were very professional to work with, extremely prompt in responding and answering all my questions. Payment came in time."""
Art Papers,2013,0.33,750.0,False,247.5,,,Criticism,Medium,Assignment,First,Print,Yes,"""I set my rate with the editors. Extremely professional. Lightning-fast payment. Would recommend to a friend."""
C Magazine,2018,0.14,1600.0,False,224.00000000000003,1.0,42,Feature,,,All,Print,Yes,
Buzzfeed India,2016,0.09,1700.0,False,153.0,2.0,42,Opinion,Light,Solicited Pitch,All,Digital,Yes,
Oregon Beer Growler,2015,0.13,375.0,False,48.75,,,News,Medium,Assignment,All,Digital,Yes,"""Pays $0.10 / word."""
The New Yorker – Elements (tech Blog),2017,0.21,1400.0,False,294.0,1.0,42,Blog,Medium,Solicited Pitch,Unknown/Other,Digital,Yes,
The New Yorker – Elements (tech Blog),2013,0.07,3500.0,False,245.00000000000003,,,Feature,,,,Digital,,
Religion News Service,2018,0.29,1200.0,False,348.0,1.0,30,News,Medium,Ongoing,Unknown/Other,Digital,Verbal,
Scidev.net,2016,0.34,500.0,False,170.0,2.0,30,,,,All,Digital,,
Full Stop,2017,0.0,1500.0,False,0.0,,,Criticism,Medium,Referral,Unknown/Other,Digital,No,
Full Stop,2017,0.0,1800.0,False,0.0,,,Opinion,Light,Cold Pitch,Unknown/Other,Digital,No,
Full Stop,2016,0.04,2800.0,False,112.0,1.0,15,Feature,Medium,Spec,Unknown/Other,Digital,Verbal,
Full Stop,2014,0.1,1500.0,False,150.0,,,Criticism,Light,Spec,,Digital,No,"""Editors great to work with."""
Full Stop,2014,0.05,3000.0,False,150.0,,,Criticism,Light,Solicited Pitch,Unknown/Other,Digital,No,
Gothamist,2016,0.25,2000.0,False,500.0,1.0,15,,,,First,Digital,,
Gothamist,2016,0.36,1100.0,False,396.0,1.0,30,Feature,Heavy,Ongoing,Unknown/Other,Digital,No,"""Also took photos for the piece."""
Gothamist,2016,0.4,500.0,False,200.0,1.0,15,Blog,Heavy,Ongoing,Unknown/Other,Digital,No,
Gothamist,2014,0.13,1500.0,False,195.0,,,News,Medium,Cold Pitch,,Digital,No,
Gothamist,2013,,,True,50.0,,,News,,,,Digital,,
Gothamist,2013,,,True,250.0,,,Feature,,,,Digital,,
National Geographic – Intelligent Travel Blog,2016,0.5,800.0,False,400.0,1.0,30,FoB,Medium,Referral,All,Digital,Yes,
National Geographic – Intelligent Travel Blog,2013,,,,,,,News,,,,Digital,,
North Bay Biz,2017,0.12,2500.0,False,300.0,2.0,Not Yet,Feature,Heavy,Assignment,All,Print,Yes,
American Forests,2017,0.69,2016.0,False,1391.04,1.0,42,Feature,Heavy,Ongoing,All,Print,Yes,
Whole Life Times,2014,0.13,750.0,False,97.5,,,Opinion,Light,Cold Pitch,Secondary,Digital,No,
"The Atlantic (online), Education Section",2016,0.23,1500.0,False,345.0,2.0,42,Feature,Heavy,Cold Pitch,All,Digital,Yes,
"The Atlantic (online), Education Section",2015,0.2,1500.0,False,300.0,,,News,Heavy,Cold Pitch,All,Digital,,"""No kill fee offered in contract (not open to including it). Editors were quick to respond and edit and I provided high-resolution photos (professional quality) with my article reported from overseas. I was originally offered $250 but negotiated to $300 due to photos + overseas reporting."""
"Naturally, Danny Seo",2018,1.08,1200.0,False,1296.0,1.0,15,,,,All,Print,,
Flamingo,2017,0.4,2500.0,False,1000.0,2.0,30,Feature,Heavy,Cold Pitch,First,Digital,Yes,
Frieze,2017,0.4,1000.0,False,400.0,1.0,15,Opinion,Medium,Assignment,All,Print,,
Frieze,2017,0.31,1400.0,False,434.0,1.0,15,Opinion,Medium,Ongoing,First,Digital,No,
Frieze,2016,0.24,1500.0,False,360.0,1.0,30,Profile,Medium,Ongoing,First,Digital,No,
How Magazine,2017,0.34,729.0,False,247.86,1.0,30,FoB,Light,Cold Pitch,All,Digital,Yes,"""Editor very easy to work with."""
How Magazine,2017,0.4,627.0,False,250.8,1.0,90,FoB,Medium,Ongoing,All,Digital,Yes,"""First time publisher has ever been overdue in payment."""
Hoodline,2016,0.25,200.0,False,50.0,1.0,30,News,Medium,Ongoing,Unknown/Other,Digital,No,
Everyday Health,2018,0.44,800.0,False,352.0,2.0,60,Feature,Medium,Ongoing,All,Digital,Yes,
Cicada Magazine,2017,0.08,1200.0,False,96.0,4.0,>90,,,,First,Digital,,
Trains Magazine,2017,0.2,1000.0,False,200.0,1.0,15,News,Medium,Cold Pitch,Unknown/Other,Print,Yes,"""The article is already paid for and scheduled to be published later this year."""
Trains Magazine,2017,0.21,702.0,False,147.42,1.0,15,News,Medium,Cold Pitch,First,Digital,No,"""Payment arrived before publication."""
Acclaim Magazine,2017,0.07,1500.0,False,105.00000000000001,4.0,60,Opinion,Medium,Ongoing,First,Digital,No,
Acclaim Magazine,2017,0.1,1000.0,False,100.0,4.0,Not Yet,Feature,Medium,Cold Pitch,All,Digital,No,
Very Smart Brothas,2017,0.19,800.0,False,152.0,2.0,15,Opinion,Light,Ongoing,All,Digital,Yes,
Paste Magazine,2018,0.04,800.0,False,32.0,5.0,Not Yet,,,,Unknown/Other,Digital,,
Paste Magazine,2017,0.08,1200.0,False,96.0,2.0,60,Opinion,Light,Ongoing,All,Digital,No,
Paste Magazine,2017,0.07,1000.0,False,70.0,4.0,90,Criticism,Light,Ongoing,Unknown/Other,Digital,Yes,
Paste Magazine,2017,0.1,1000.0,False,100.0,4.0,Not Yet,News,Light,Referral,All,Digital,Yes,"""After 8 weeks, I'm still waiting on payment"""
Paste Magazine,2017,0.06,1700.0,False,102.0,3.0,90,Blog,Light,Referral,Unknown/Other,Digital,Yes,
Paste Magazine,2017,0.1,1000.0,False,100.0,4.0,Not Yet,,Light,Referral,All,Digital,,"""Been waiting almost 8 weeks for payment with no check in sight."""
Paste Magazine,2017,0.1,1000.0,False,100.0,4.0,Not Yet,,,,All,Digital,,
Paste Magazine,2017,0.1,1000.0,False,100.0,5.0,Not Yet,,,,First,Digital,,
Paste Magazine,2017,0.05,1000.0,False,50.0,4.0,>90,Opinion,Light,Ongoing,Unknown/Other,Digital,Yes,"""Still waiting to get paid four months after I submitted my invoice. Endless runaround and they ultimately stopped responding to my emails. I may never actually get paid. Freelancer Beware."""
Paste Magazine,2017,0.04,500.0,False,20.0,4.0,Not Yet,,Light,,Unknown/Other,Digital,Yes,"""My direct editor was great to work with, but Paste has been giving writers the run-around for months now, shirking payments with very little information or updates given. I've even exchanged multiple emails with the editor-in-chief/founder who essentially shrugged his shoulders at me when I asked when I could expect payment. If I didn't enjoy my direct editor so much, I would not write for Paste, and I would discourage any interested writers from pitching them."""
Paste Magazine,2017,0.13,800.0,False,104.0,4.0,60,,,,Unknown/Other,Digital,,
Paste Magazine,2017,0.1,754.0,False,75.4,5.0,>90,FoB,Light,Cold Pitch,First,Digital,Yes,"""Will not write for this pub again. Editor was professional, enjoyed working with him, but payment was a nightmare. After publication, they asked that I resend the paperwork I'd already emailed by snail mail because they were no longer receiving it electronically. Mailed it in. A month passes & they ask that I resubmit it because they've changed what paperwork they require. They then ignored all emails checking on payment status until I threatened to turn them into collections. Then they emailed saying they'd pay by PayPal (which is not what we agreed on, since PayPal takes fees). Then, the day after they were supposed to pay by PayPal they said they couldn't pay because someone was out of the office and PayPal required a double signature. (Note PayPal does NOT have a double signature function.) Then when they paid, they offered to cover the fees, which was appreciated, but they didn't pay enough for the fees, so I still got short-changed. 

Note they also make you put the html in your article so headers can be bolded when it publishes online, etc. Editor did not tell me this before I accepted the rate and it takes forever!"""
Paste Magazine,2017,0.05,3000.0,False,150.0,4.0,Not Yet,Feature,Medium,Cold Pitch,All,Digital,Yes,
Paste Magazine,2016,0.05,1500.0,False,75.0,1.0,15,Opinion,Light,Cold Pitch,First,Print,Yes,
Paste Magazine,2016,0.17,750.0,False,127.50000000000001,1.0,30,Blog,Medium,Cold Pitch,First,Digital,,
Paste Magazine,2014,0.05,750.0,False,37.5,,,Criticism,Medium,Solicited Pitch,All,Digital,Yes,
Paste Magazine,2014,0.13,750.0,False,97.5,,,Profile,Medium,Cold Pitch,All,Digital,Yes,
Paste Magazine,2014,0.07,750.0,False,52.50000000000001,,,FoB,Medium,Cold Pitch,All,Digital,Yes,
Paste Magazine,2013,,,True,50.0,,,,,,,,,
Paste Magazine,2013,,,True,100.0,,,Feature,,,,,,
Paste Magazine,2013,0.04,800.0,False,32.0,,,Criticism,,,,,,
Listverse.com,2018,0.05,1950.0,False,97.5,2.0,30,Feature,Medium,Ongoing,All,Digital,No,"""I first had a piece published by them in 2016, and it was a great experience: they let me know within 24 hours that they wanted to publish it, and I was paid a week later. Two years on, a very different story. I submitted a new article in late 2017, but not until almost FIVE MONTHS later did they respond. It is supposed to be only a few weeks before they let you know one way or the other. They did accept it in the end, and after this point I was paid within a month. I am less bothered about the payment time, even if longer than in 2016, more about the absurd length of time it took to tell me if they wanted it or not. Also, in 2016 the article length was requested as being 1200-1500 words maximum, now it has to be at least 1800, but the amount of money you are paid - $100 - is still the same as it was two years ago, so you have to write more without getting paid more. In short, I would no longer recommend writing for Listverse, it has definitely gone downhill in multiple ways."""
Listverse.com,2016,0.07,1500.0,False,105.00000000000001,1.0,15,Feature,Medium,Spec,All,Digital,No,
Listverse.com,2014,0.07,1500.0,False,105.00000000000001,,,FoB,Medium,Cold Pitch,All,Digital,No,
Outside Online,2018,0.5,800.0,False,400.0,4.0,>90,Profile,Heavy,Cold Pitch,Unknown/Other,Digital,No,
Outside Online,2018,0.5,800.0,False,400.0,4.0,>90,,,,Unknown/Other,Digital,,
Outside Online,2018,0.63,4000.0,False,2520.0,5.0,>90,Feature,Heavy,Assignment,First,Digital,No,"""Had to threaten to sue the publication for refusal to pay; only then did they pay, nearly 6 months late."""
Outside Online,2018,0.65,500.0,False,325.0,5.0,Not Yet,News,Medium,Assignment,First,Digital,Yes,
Outside Online,2018,1.0,400.0,False,400.0,5.0,Not Yet,FoB,Medium,Assignment,First,Print,Yes,
Outside Online,2018,0.42,1000.0,False,420.0,5.0,Not Yet,Opinion,Medium,Assignment,First,Digital,Yes,
Outside Online,2018,0.5,2000.0,False,1000.0,4.0,>90,News,Heavy,Ongoing,All,Digital,Verbal,"""Outside is the very worst of my clients when it comes to payment on time. Pay rates are very good. But you have to hassle them to get paid, and even then six months to a year is common. Everyone I know who writes for them has similar issues."""
Outside Online,2017,1.0,1500.0,False,1500.0,5.0,Not Yet,News,Heavy,Referral,Unknown/Other,Digital,Verbal,"""Editor was forthright about payment issues, and other colleagues have also mentioned that Outside didn't pay until a year after an assignment was filed."""
Outside Online,2017,0.5,1060.0,False,530.0,5.0,Not Yet,News,Heavy,Ongoing,All,Digital,Verbal,
Outside Online,2016,0.25,4000.0,False,1000.0,1.0,15,Feature,,,First,Digital,,
Outside Online,2016,0.38,1300.0,False,494.0,2.0,30,Opinion,Heavy,Referral,Unknown/Other,Digital,Verbal,
Outside Online,2014,0.53,375.0,False,198.75,,,FoB,Medium,Cold Pitch,Unknown/Other,Digital,No,
Outside Online,2012,,,True,300.0,,,,,,,,,"""Brief, web-only"""
Blasting News Us,2017,0.03,450.0,False,13.5,2.0,30,News,Medium,,First,Digital,No,
Blasting News Us,2017,0.0,360.0,False,0.0,1.0,30,News,Medium,Cold Pitch,Unknown/Other,Digital,No,
Espn The Magazine,2013,,,,,,,,,,,,,
Thrillist,2018,0.5,5000.0,False,2500.0,1.0,15,Feature,,,All,Digital,Yes,
Thrillist,2015,0.13,750.0,False,97.5,,,FoB,Medium,Ongoing,First,Digital,No,
Thrillist,2014,0.27,375.0,False,101.25,,,FoB,Medium,Cold Pitch,All,Digital,No,"""$100 rate flat fee for all articles..can negotiate for more if it's more intensive/you have photos. """
Moot,2016,0.05,3500.0,False,175.0,1.0,15,Feature,Medium,Cold Pitch,First,,Yes,"""moot was great to work for and paid promptly upon publication!"""
Herizons,2017,0.21,2000.0,False,420.0,3.0,30,Feature,Heavy,Ongoing,First,Digital,,"""On more than one occasion, I have not received the full amount owing for my article. The editor has justified ""shaving off"" $10-30 because ad revenue was low that month."""
Harper's,2016,1.0,5000.0,False,5000.0,1.0,30,Feature,Medium,Ongoing,First,Digital,Yes,
Harper's,2016,0.25,2000.0,False,500.0,2.0,30,Blog,Heavy,Cold Pitch,First,Digital,No,"""Working with the online editor was frustrating. It took over seven months for my piece to make it up on the site, and during that time period, he was fairly uncommunicative. His vision for the piece ended up being very different from what I had written, and the piece, consequently was gutted. Perhaps things would have been different if we'd started out on the same page."""
Harper's,2013,,,,,,,Criticism,,,,,,
Lapham's Quarterly,2015,0.13,1500.0,False,195.0,,,Feature,Medium,Cold Pitch,First,Digital,No,
Lapham's Quarterly,2013,0.07,1500.0,False,105.00000000000001,,,Blog,Medium,Solicited Pitch,,Digital,No,
Book Riot,2017,0.07,687.0,False,48.09,1.0,15,Opinion,Light,,First,Digital,No,"""Payment within a matter of days. They did pay by PayPal without asking me first if that was okay (my invoice had said check). Normally this wouldn't bother me, but as the rate is so low the PayPal fees just seemed a little unnecessary, but payment was so quick that's easy to overlook."""
October,2018,0.5,800.0,False,400.0,2.0,Not Yet,Feature,Medium,Solicited Pitch,Unknown/Other,Digital,Yes,
October,2018,0.38,1200.0,False,456.0,1.0,Not Yet,Profile,Medium,Cold Pitch,Unknown/Other,Digital,Yes,
Electric Literature,2018,0.05,1200.0,False,60.0,1.0,30,Opinion,Light,Cold Pitch,First,Digital,Yes,
Electric Literature,2018,0.03,1800.0,False,54.0,2.0,15,Opinion,Light,Cold Pitch,Unknown/Other,Digital,Yes,
Electric Literature,2017,0.02,2500.0,False,50.0,2.0,Not Yet,,Light,Spec,Unknown/Other,Digital,No,
Electric Literature,2017,0.24,169.0,False,40.559999999999995,1.0,90,,Light,Cold Pitch,Unknown/Other,Digital,Yes,
Electric Literature,2016,0.01,1800.0,False,18.0,3.0,>90,Criticism,Light,Cold Pitch,Unknown/Other,Digital,No,
Snews,2017,0.31,1300.0,False,403.0,3.0,Not Yet,Feature,Medium,Cold Pitch,All,Digital,Yes,"""Helpful edits"""
Momondo,2017,0.25,1200.0,False,300.0,1.0,15,Feature,Medium,Assignment,Unknown/Other,Digital,Verbal,
Belt Magazine,2018,0.42,1200.0,False,504.0,1.0,30,Feature,Medium,Ongoing,Unknown/Other,Digital,No,"""Good, collaborative editing. A positive experience."""
Belt Magazine,2015,0.17,3000.0,False,510.00000000000006,,,Feature,Medium,Ongoing,,Digital,Verbal,
