pub,link,madeCSV
Things To Do In Palm Springs - California,#/publication/things-to-do-in-palm-springs--california,0
This American Life (radio),#/publication/this-american-life-radio,1
This Magazine (canada),#/publication/this-magazine-canada,1
This Recording,#/publication/this-recording,1
Threepenny Review,#/publication/threepenny-review,1
Thrillist,#/publication/thrillist,1
Thrillist Philly,#/publication/thrillist-philly,1
Thriving Family,#/publication/thriving-family,1
Time,#/publication/time,1
Time (ideas.time.com),#/publication/time-ideastimecom,1
Time Out,#/publication/time-out,1
Time Out New York,#/publication/time-out-new-york,1
Time.com,#/publication/timecom,1
Timeline,#/publication/timeline,1
Times Higher Education,#/publication/times-higher-education,1
Tin House,#/publication/tin-house,1
Tmrw Magazine,#/publication/tmrw-magazine,1
Tnooz,#/publication/tnooz,1
Today's Charlotte Woman,#/publication/todays-charlotte-woman,1
Today's Parent Magazine,#/publication/todays-parent-magazine,1
Tokyoyoga.com,#/publication/tokyoyogacom,1
Tonic (Vice),#/publication/tonic-vice,1
Townsquare Digital,#/publication/townsquare-digital,1
Trains Magazine,#/publication/trains-magazine,1
Transitions Abroad,#/publication/transitions-abroad,1
Travel Age West,#/publication/travel-age-west,1
Travel And Leisure,#/publication/travel-and-leisure,1
Travioor,#/publication/travioor,0
Triathlete Magazine,#/publication/triathlete-magazine,1
Tricycle,#/publication/tricycle,1
Truthout,#/publication/truthout,1
"Ttg Asia (Travel Trade Gazette Asia), Singapore",#/publication/ttg-asia-travel-trade-gazette-asia-singapore,1
Tuenight,#/publication/tuenight,1
Tumblr Storyboard,#/publication/tumblr-storyboard,1
Tvtechnology,#/publication/tvtechnology,0
Tyro Magazine,#/publication/tyro-magazine,1
U.s. News & World Report,#/publication/us-news--world-report,1
U.s. News & World Report,#/publication/us-news--world-report,1
U.s. News & World Report,#/publication/us-news--world-report,1
Uk Blasting News,#/publication/uk-blasting-news,0
Ultius,#/publication/ultius,1
Undark,#/publication/undark,1
Under The Radar,#/publication/under-the-radar,1
Uni Junkee,#/publication/uni-junkee,0
Unicorn Booty,#/publication/unicorn-booty,1
Unilad,#/publication/unilad,1
Univision,#/publication/univision,1
Unusual Effortd,#/publication/unusual-effortd,1
Unusual Efforts,#/publication/unusual-efforts,1
Unwinnable,#/publication/unwinnable,1
Upside Down World,#/publication/upside-down-world,1
Upworthy,#/publication/upworthy,1
Urb Magazine,#/publication/urb-magazine,1
Urban Agenda Magazine,#/publication/urban-agenda-magazine,1
Urban Omnibus,#/publication/urban-omnibus,1
Us Of America,#/publication/us-of-america,1
Usa Today,#/publication/usa-today,1
Usa Today College,#/publication/usa-today-college,1
Usa Today Magazines,#/publication/usa-today-magazines,1
Vam,#/publication/vam,1
Van Magazine,#/publication/van-magazine,1
Vanity Fair,#/publication/vanity-fair,1
Variety,#/publication/variety,1
Vdare,#/publication/vdare,1
Vdrome,#/publication/vdrome,1
Venturebeat,#/publication/venturebeat,0
Verge Magazine,#/publication/verge-magazine,1
Verily Magazine,#/publication/verily-magazine,1
Very Smart Brothas,#/publication/very-smart-brothas,1
Vh1,#/publication/vh1,1
Vice,#/publication/vice,1
Vice,#/publication/vice,1
Vice,#/publication/vice,1
Vice,#/publication/vice,1
Vice (uk),#/publication/vice-uk,1
Vice Canada,#/publication/vice-canada,1
Vice News,#/publication/vice-news,1
Vice Sports,#/publication/vice-sports,1
Vice Sports Canada,#/publication/vice-sports-canada,1
Vice—motherboard,#/publication/vicemotherboard,1
Vice.com (munchies),#/publication/vicecom-munchies,1
Vice.com (Munchies),#/publication/vicecom-munchies,1
Victory Journal,#/publication/victory-journal,1
Village Voice,#/publication/village-voice,1
Vinepair,#/publication/vinepair,1
Vinyl Me Pease,#/publication/vinyl-me-pease,1
Virginia Quarterly Review,#/publication/virginia-quarterly-review,1
Visions,#/publication/visions,0
Vitamin W,#/publication/vitamin-w,1
Vocally,#/publication/vocally,1
Vogue,#/publication/vogue,1
Vox,#/publication/vox,1
Vox First Person,#/publication/vox-first-person,1
Vulture,#/publication/vulture,1
Vulture Magazine,#/publication/vulture-magazine,1
Wag's Revue,#/publication/wags-revue,1
Waging Nonviolence,#/publication/waging-nonviolence,1
Wait(er) Magazine,#/publication/waiter-magazine,1
Wall Street Journal,#/publication/wall-street-journal,1
Warscapes,#/publication/warscapes,1
Washington Blade,#/publication/washington-blade,1
Washington City Paper,#/publication/washington-city-paper,1
Washington Post,#/publication/washington-post,1
Washington Post Express,#/publication/washington-post-express,1
Washington Post Express,#/publication/washington-post-express,1
Washington Post Magazine,#/publication/washington-post-magazine,1
Washington Post Solo-ish,#/publication/washington-post-soloish,1
Washingtonian,#/publication/washingtonian,1
Water Deeply,#/publication/water-deeply,1
Water Efficiency Magazine,#/publication/water-efficiency-magazine,1
Waterworld,#/publication/waterworld,1
Wattpad,#/publication/wattpad,1
Wbur Cognoscenti,#/publication/wbur-cognoscenti,1
We Like La,#/publication/we-like-la,0
Wear Your Voice,#/publication/wear-your-voice,1
Web Hosting Secret Revealed,#/publication/web-hosting-secret-revealed,0
Wedding Bee,#/publication/wedding-bee,1
West Branch,#/publication/west-branch,1
Western Canada Is Still Struggling To Replace Cancelled Greyhound Service,#/publication/western-canada-is-still-struggling-to-replace-cancelled-greyhound-service,0
Western New York Physician,#/publication/western-new-york-physician,1
What Can Pokémon Teach Us About Fiction?,#/publication/what-can-pokmon-teach-us-about-fiction,0
Whole Life Times,#/publication/whole-life-times,1
Whosay,#/publication/whosay,0
Wilder Quarterly,#/publication/wilder-quarterly,1
Wildernys.com,#/publication/wildernyscom,1
Willamette Week,#/publication/willamette-week,1
Windy City Times,#/publication/windy-city-times,1
Wine Searcher,#/publication/wine-searcher,1
Wired,#/publication/wired,1
Wisecrack,#/publication/wisecrack,1
Wlrn,#/publication/wlrn,1
Women's Adventure,#/publication/womens-adventure,1
Women's Enews,#/publication/womens-enews,1
Women's Health,#/publication/womens-health,1
Women's Media Center,#/publication/womens-media-center,1
Women's Running Magazine,#/publication/womens-running-magazine,1
Womens Review Of Books,#/publication/womens-review-of-books,1
Wonderland Magazine,#/publication/wonderland-magazine,1
Wonkette,#/publication/wonkette,1
Words In Light,#/publication/words-in-light,1
Working Mother Magazine,#/publication/working-mother-magazine,1
World Literature Today,#/publication/world-literature-today,1
World Politics Review,#/publication/world-politics-review,1
Worldatlas.com,#/publication/worldatlascom,1
Writehackr Magazine,#/publication/writehackr-magazine,1
Writer's Digest,#/publication/writers-digest,1
Www.newsworks.org,#/publication/wwwnewsworksorg,1
Xojane,#/publication/xojane,1
Xonecole,#/publication/xonecole,1
Yahoo Beauty,#/publication/yahoo-beauty,1
Yahoo!,#/publication/yahoo,1
Yellowstone Valley Woman Magazine,#/publication/yellowstone-valley-woman-magazine,1
Yes! Magazine,#/publication/yes-magazine,1
Yoga Journal,#/publication/yoga-journal,1
Youbeauty,#/publication/youbeauty,1
Your Chicken Enemy,#/publication/your-chicken-enemy,1
Yourtango,#/publication/yourtango,1
Yourteen,#/publication/yourteen,1
Zdnet,#/publication/zdnet,1
Zink Magazine,#/publication/zink-magazine,1
Zocalo Public Square,#/publication/zocalo-public-square,1
Zymurgy Magazine,#/publication/zymurgy-magazine,1
