comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: Yes,$0.23,False,Heavy/Investigative reporting,Paid in 15 days ,svg-1,Platform: digital,Electronic Intifada,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,feature,1100,2018
"""NYDN pays a flat $150 USD for op-eds. Had two op-eds run with them: had to follow-up for payment on the first, but the second was paid promptly (both by cheque). Easy editing process. They do expect submissions to be exclusive.""",Contract: Yes,$0.20,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,New York Daily News,Submission/spec (piece was written prior and then submitted for publication),Rights: First Serial Rights,"opinion, editorial, column or essay",750,2018
"""Publication offered me a 1,000-word travel piece requiring two days, photos and interviews. After the deal was in place over many, many emails between myself, the editor and publicist of destination, editor sent one last email: ""By the way, we don't offer pay for this."" When I wrote back asking for $50 in gas money, the editor's exact reply was ""Skip it"" and that was the end of the matter. """,Contract: Yes,$0.00,False,Heavy/Investigative reporting,,ng-hide,Platform: digital,New York Daily News,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,feature,~1500,2015
"""I also submitted a photo, which was at first paid $50. When the story became more important after a few hours, the News paid $300 to keep exclusive right to that photo for one day. After that day I was allowed to sell the photo elsewhere.""",Contract: No,$0.40,False,Medium reporting,,ng-hide,Platform: digital,New York Daily News,Referral (you had a connection who connected you to the editor),Rights: ,news story,~375,2014
"""Had to ask for Daily News to pay me! Weeks went by after it ran, and I approached editor, who said, 'Okay. $150.'""""",Contract: ,$150,True,,,ng-hide,,New York Daily News,,Rights: ,,,2013
,Contract: No,$0.15,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Pens And Needles,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",1200,2019
"""The editor Audrey was super personable and thoughtful. She will definitely take the time to make sure you are delivering your strongest writing.""",Contract: Yes,$0.18,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Pens And Needles,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"opinion, editorial, column or essay",1400,2018
,Contract: Yes,$0.18,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Pens And Needles,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"opinion, editorial, column or essay",1400,2018
,Contract: No,$0.17,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Pens And Needles,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",1500,2018
,Contract: Yes,$0.25,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-1,Platform: digital,Washington Post,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"opinion, editorial, column or essay",1000,2018
,Contract: ,$0.45,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Washington Post,Cold pitch (no pre-existing relationship),Rights: All rights,"criticism, review, or arts/entertainment coverage",1000,2018
"""It was a religion-related 1st person that was timely""",Contract: No,$0.30,False,Little to no reporting,Paid in 6 weeks ,svg-1,Platform: digital,Washington Post,Cold pitch (no pre-existing relationship),Rights: All rights,"opinion, editorial, column or essay",1000,2018
"""$250 is the Washington Post's day rate; I worked as a stringer for a news event.""",Contract: Yes,$0.33,False,Medium reporting,Paid in 15 days ,svg-2,Platform: digital,Washington Post,Referral (you had a connection who connected you to the editor),Rights: First Serial Rights,news story,750,2018
,Contract: Yes,$0.25,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-1,Platform: digital,Washington Post,Referral (you had a connection who connected you to the editor),Rights: First Serial Rights,"opinion, editorial, column or essay",1000,2018
,Contract: Yes,$0.73,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Washington Post,Referral (you had a connection who connected you to the editor),Rights: Other / I don't know,"opinion, editorial, column or essay",550,2017
"""Pitched idea, wrote story, and completed several rounds of edits on very short (24-48 hour) turnaround opinion piece/essay for PostEverything section. Once story was published, editor never responded to any of my further emails about payment and invoicing. Followed up repeatedly before giving up in anger and frustration, galled by the unprofessionalism. Am stunned if this is standard for the Post. Am even more surprised editors don't realize that writers share this sort of information, and that they don't care if they develop a reputation as a person and publication to avoid.""",Contract: No,$0.00,False,Little to no reporting,,svg-false,Platform: digital,Washington Post,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",1000,2017
"""Received payment 4 days after publication. Editor easy to work with.""",Contract: Yes,$0.28,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Washington Post,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,902,2017
"""Have found w WaPo it *really* depends on the editor. Wish Who Pays Writers would let you id editor when submitting info for this reason: Because the editor on this assignment was fantastic. The assignment I did for WaPo right after this one, though, went horribly--of course, it was a different editor. It really and truly depends on who you get: Writer's experience with them can be night and day.""",Contract: Yes,$0.19,False,Heavy/Investigative reporting,Paid in 1 month ,svg-1,Platform: digital,Washington Post,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,news story,1888,2017
,Contract: Yes,$0.20,False,Medium reporting,Paid in 1 month ,svg-2,Platform: digital,Washington Post,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,blog post,1000,2017
,Contract: ,$0.00,False,,,svg-false,Platform: print,Washington Post,,Rights: Other / I don't know,,800-word,2016
"""Good experience. Essay accepted and published within 48 hours. Payment received in 2 weeks by direct deposit.""",Contract: Yes,$0.19,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Washington Post,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"opinion, editorial, column or essay",800,2016
,Contract: Yes,$0.37,False,Heavy/Investigative reporting,,ng-hide,Platform: digital,Washington Post,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,~1500,2015
"""I'm a freelance classical music critic for the Post.  I get paid $125.00 for each concert review (250-300 words).  """,Contract: Yes,$0.33,False,Ongoing/pre-existing relationship with editor or publication,,ng-hide,Platform: digital,Washington Post,,Rights: First Serial Rights,"criticism, review, or arts/entertainment converage",~375,2014
,Contract: No,$0.13,False,Medium reporting,,ng-hide,Platform: digital,Washington Post,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,news story,~750,2014
,Contract: Yes,$0.20,False,Little to no reporting,,ng-hide,Platform: digital,Washington Post,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"opinion, editorial, column or essay",~750,2014
"""""used to be $350""""",Contract: No,$0.33,False,Little to no reporting,,ng-hide,Platform: digital,Washington Post,Submission/spec (piece was written prior and then submitted for publication),Rights: First Serial Rights,"opinion, editorial, column or essay",~750,2014
"""Months of back and forth and waiting. Ultimately, I probably lost money writing this for the Post at this price. At $1,000, maybe it would have been worth the trouble. I believe many Post editors will ask a few questions about your pitch and then stop responding because they take the pitch and assign it to a staff writer, cutting you out of the picture.""",Contract: Yes,$0.17,False,Heavy/Investigative reporting,,ng-hide,Platform: digital,Washington Post,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,feature,~3000,2013
"""Used to be $350""",Contract: ,$250,True,,,ng-hide,,Washington Post,,Rights: ,," criticism, review, or arts/entertainment converage",2013
,Contract: ,$0.42,False,,,ng-hide,,Washington Post,,Rights: ,"opinion, editorial, column or essay",1200,2013
"""""$250 if it runs inside, $500 if it's on the section front""""",Contract: ,$250,True,,,ng-hide,,Washington Post,,Rights: ,,,2013
,Contract: Yes,$0.08,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Popsugar,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,"opinion, editorial, column or essay",600,2018
"""$50 flat rate for standard posts & $100 flat rate for posts that tend to require heavy research""",Contract: Yes,$0.04,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Popsugar,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,1300,2017
"""First submission is unpaid but I was told future publication would pay $50-$100 for 800-1000 word articles.""",Contract: Yes,$0.00,False,Little to no reporting,,svg-false,Platform: digital,Popsugar,Submission/spec (piece was written prior and then submitted for publication),Rights: All rights,"opinion, editorial, column or essay",760,2017
,Contract: No,$0.19,False,Medium reporting,Paid in 3 months ,svg-2,Platform: digital,Variety,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,"criticism, review, or arts/entertainment coverage",800,2018
,Contract: ,$0.19,False,,Paid in 3 months ,svg-2,Platform: digital,Variety,,Rights: All rights,,800-word,2018
,Contract: Yes,$0.75,False,Medium reporting,Paid in 3 months ,svg-2,Platform: digital,Variety,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,"criticism, review, or arts/entertainment coverage",600,2017
,Contract: Yes,$0.33,False,Little to no reporting,Paid in 3 months ,svg-3,Platform: digital,Vox,Cold pitch (no pre-existing relationship),Rights: All rights,"opinion, editorial, column or essay",1500,2017
,Contract: No,$0.19,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Vox,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",1300,2017
,Contract: ,$0.42,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Vox,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,"opinion, editorial, column or essay",1200,2017
,Contract: ,$1.00,False,,Paid in 2 months ,svg-1,Platform: digital,Vox,,Rights: All rights,,1500-word,2016
"""Had written several pieces for them before without payment - was offered this time, which was appreciated. Suspect if I had asked earlier it would have been offered then as well.""","Contract: Verbal or ""handshake"" agreement",$0.15,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Vox,Solicited pitch (editor asked you to pitch),Rights: Other / I don't know,news story,1700,2016
,Contract: ,$0.20,False,,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: digital,Kpopstarz,,Rights: All rights,,12000-word,2017
,Contract: Yes,$0.02,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: digital,Kpopstarz,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,other,120000,2017
,Contract: Yes,$0.30,False,Medium reporting,Paid in 1 month ,svg-1,Platform: print,Acres Usa,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,news story,1000,2017
"""Constantly have to badger them for pay. Making changes currently that will cut writers' pay in thirds, very short notice.""",Contract: No,$0.13,False,Medium reporting,Paid in 2 months ,svg-3,Platform: digital,Arena Music,Solicited pitch (editor asked you to pitch),Rights: First Serial Rights,"opinion, editorial, column or essay",1000,2018
,Contract: ,$0.05,False,,Paid in 15 days ,svg-1,Platform: digital,Jetsett,,Rights: All rights,,500-word,2018
"""Super easy to work with, including several layers of editing.""",Contract: Yes,$1.00,False,Medium reporting,Paid in 1 month ,svg-1,Platform: print,Bioscience,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,fob,750,2017
,"Contract: Verbal or ""handshake"" agreement",$0.04,False,Little to no reporting,,ng-hide,Platform: digital,Story|houston,Submission/spec (piece was written prior and then submitted for publication),Rights: First Serial Rights,fiction,~5000,2016
,Contract: Yes,$0.06,False,Medium reporting,Paid in 15 days ,svg-1,Platform: print,Are We Europe,Cold pitch (no pre-existing relationship),Rights: All rights,feature,2000,2018
,Contract: Yes,$0.06,False,Medium reporting,Paid in 15 days ,svg-2,Platform: digital,Are We Europe,Cold pitch (no pre-existing relationship),Rights: All rights,feature,2000,2018
,Contract: Yes,$0.03,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Are We Europe,Referral (you had a connection who connected you to the editor),Rights: First Serial Rights,feature,4000,2018
,Contract: No,$0.10,False,Medium reporting,Paid in 6 weeks ,svg-1,Platform: digital,Are We Europe,Solicited pitch (editor asked you to pitch),Rights: First Serial Rights,feature,1200,2018
,Contract: ,$0.10,False,,Paid in 6 weeks ,svg-1,Platform: digital,Are We Europe,,Rights: First Serial Rights,,1200-word,2018
,Contract: Yes,$0.05,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-1,Platform: digital,Are We Europe,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,feature,2600,2018
,Contract: No,$0.06,False,Little to no reporting,Paid in 15 days ,svg-2,Platform: digital,Are We Europe,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,"opinion, editorial, column or essay",1000,2018
,"Contract: Verbal or ""handshake"" agreement",$0.06,False,Little to no reporting,Paid in 1 month ,svg-2,Platform: digital,Are We Europe,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,profile or interview,2000,2018
,Contract: Yes,$0.16,False,Medium reporting,Paid in 6 weeks ,svg-2,Platform: digital,Are We Europe,Solicited pitch (editor asked you to pitch),Rights: First Serial Rights,feature,700,2018
,Contract: Yes,$0.06,False,Medium reporting,Paid in 1 month ,svg-2,Platform: digital,Are We Europe,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,feature,2000,2018
"""After numerous proddings (and legal threats), I finally got paid. Or at least I received two-thirds of what I was owed 8.5 months after it was due. Stay away from this publisher if you want to preserve your peace of mind.""",Contract: Yes,$1.00,False,Heavy/Investigative reporting,Longer than 3 months ,svg-1,Platform: print,Consumers Digest,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,feature,1500,2018
"""This has taught me to be extra wary of who I will work for in the future. Contracts evidently don't mean a thing when it comes to freelance assignments. Do not ever accept an assignment from Consumers Digest Magazine!""",Contract: Yes,$0.43,False,Heavy/Investigative reporting,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: digital,Consumers Digest,Assignment (editor came to you),Rights: All rights,feature,6000,2017
"""Editors introduced multiple errors in the final piece. The publisher is also not paying or responding to multiple writers.""",Contract: Yes,$1.00,False,Heavy/Investigative reporting,Longer than 3 months ,svg-5,Platform: digital,Consumers Digest,Assignment (editor came to you),Rights: All rights,feature,2600,2017
"""Trying to collect from this client has been impossible--stay away.""",Contract: Yes,$1.00,False,Heavy/Investigative reporting,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: digital,Consumers Digest,Assignment (editor came to you),Rights: All rights,feature,2600,2017
"""This was actually a collection of related pieces: the main report on the product category as a whole and the Single Product Pages, pieces about a page long that cover specific products in detail.""",Contract: Yes,$0.11,False,Medium reporting,,ng-hide,Platform: digital,Consumersearch.com,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,feature,~8000,2014
,"Contract: Verbal or ""handshake"" agreement",$0.30,False,Heavy/Investigative reporting,Paid in 15 days ,svg-1,Platform: digital,Next City,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,1000,2018
,Contract: No,$0.33,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Next City,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,feature,900,2018
,Contract: Yes,$0.25,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Next City,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,news story,800,2017
,Contract: ,$0.48,False,,Paid in 15 days ,svg-1,Platform: digital,Next City,,Rights: First Serial Rights,,2100-word,2017
"""Mails checks.""",Contract: No,$0.25,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Next City,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,news story,800,2017
,Contract: No,$0.20,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Next City,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,1100,2017
"""Payment is via PayPal, and very easy; I've even received payment a few days prior to publication. Edits are light, although they might make revisions you don't see until the piece is published. The editor is a positive, pleasant person to work with.""",Contract: No,$0.17,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Next City,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,news story,1000,2016
,"Contract: Verbal or ""handshake"" agreement",$0.22,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Next City,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,news story,800,2016
"""Pitched a story that was based on some surplus reportage I had for another story. Story was for the Daily Blog, but I hear that the Forefront section pays much more.""",Contract: No,$0.13,False,Medium reporting,,ng-hide,Platform: digital,Next City,Ongoing/pre-existing relationship with editor or publication,Rights: ,news story,~750,2013
,Contract: ,$1500,True,,,ng-hide,,Next City,,Rights: ,, feature,2013
,Contract: ,$0.00,False,,,ng-hide,Platform: digital,Next City,,Rights: ,"opinion, editorial, column or essay",~1500,2012
"""Report of no compensation for ‘guest essays’ on this ‘urban affairs’-focused blog, and no plans to change.""",Contract: ,,,,,ng-hide,,Next City,,Rights: ,,,2012
"""Terrible editing--worst in my entire career. I do not recommend it. Took months to get paid.""",Contract: ,$0.50,False,,Longer than 3 months ,svg-4,Platform: digital,Africa Renewal (Un),,Rights: All rights,,1600-word,2018
"""First time round was a cold pitch but since then have had solicited and commissioned work. Payment is on time every time. Editor is easy to work with.""",Contract: No,$0.07,False,Medium reporting,,ng-hide,Platform: digital,The Independent Restaurateur,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,profile or interview,~750,2015
,Contract: Yes,$1.00,False,Medium reporting,Paid in 6 weeks ,svg-1,Platform: digital,Architect Magazine,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,feature,2000.0,2018
,Contract: ,,,,,ng-hide,Platform: print,Architect Magazine,,Rights: ,,,2013
,Contract: ,,,,,ng-hide,Platform: digital,Architect Magazine,,Rights: ,,,2013
,Contract: ,,,,,ng-hide,Platform: print,Architect Magazine,,Rights: ,,,2013
,Contract: Yes,$0.35,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,The Sunday Times,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,700,2018
"""Editor had engaged me for previous online articles and had been (extremely) slow in paying. I threatened to pull the plug on this feature article, as he had already accepted it, in order to receive payment. Perhaps unsurprisingly, despite repeated promises that he would pay my invoice soon, he has never paid the 180 British Pounds that he offered for my article (despite it being published in print). In addition, he assured me there were sub-editors who would go through my article, but no-one did (was sent back the same copy I submitted to review in the finalised publication layouts).""","Contract: Verbal or ""handshake"" agreement",$0.00,False,Medium reporting,,ng-hide,Platform: print,De Magazine (or Design Exchange Magazine),Ongoing/pre-existing relationship with editor or publication,Rights: ,feature,~1500,2014
,Contract: No,$0.16,False,Medium reporting,Paid in 1 month ,svg-1,Platform: print,Vulture Magazine,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,feature,869,2016
,Contract: No,$0.08,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: digital,Vdrome,Assignment (editor came to you),Rights: All rights,profile or interview,800,2018
,Contract: No,$0.10,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-3,Platform: digital,Artslant,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,profile or interview,1000,2017
"""payment received after submission of 'on spec' manuscript. Publisher submits manuscript for doctrinal review and certification.""",Contract: Yes,$0.10,False,Little to no reporting,,ng-hide,Platform: print,Portals Of Prayer,Submission/spec (piece was written prior and then submitted for publication),Rights: All rights,blog post,~8000,2014
,Contract: Yes,$1.33,False,Medium reporting,,ng-hide,Platform: digital,Spirituality & Health,Cold pitch (no pre-existing relationship),Rights: ,profile or interview,~375,2015
"""""Offer of 'a little money' and then they never paid.""""",Contract: ,,,,,ng-hide,,Urb Magazine,,Rights: ,,,2012
"""Publication paid travel expenses""",Contract: Yes,$1.00,False,Heavy/Investigative reporting,Paid in 3 months ,svg-3,Platform: print,Victory Journal,Solicited pitch (editor asked you to pitch),Rights: Other / I don't know,feature,1800,2016
,"Contract: Verbal or ""handshake"" agreement",$0.20,False,Heavy/Investigative reporting,Paid in 15 days ,svg-1,Platform: digital,Truthout,Cold pitch (no pre-existing relationship),Rights: All rights,news story,1500,2017
"""Truthout is one of the more egregiously abusive publications I have written for. They do not pay their writers and they do not communicate with their writers.  When you ask for communication and are forced to write many times over five month's time, you get a snide response which reads like this: ""We don't have to communicate with you, if you don't like it, publish elsewhere.""  They are not worth writing for, even if they paid.""",Contract: ,$0.00,False,Heavy/Investigative reporting,,svg-false,Platform: digital,Truthout,Submission/spec (piece was written prior and then submitted for publication),Rights: Other / I don't know,news story,1200,2017
"""Friendly and respectful communication and editing process.""",Contract: No,$0.17,False,Medium reporting,,ng-hide,Platform: digital,Truthout,Cold pitch (no pre-existing relationship),Rights: ,news story,~1500,2014
,Contract: ,$100,True,,,ng-hide,,Truthout,,Rights: ,, other,2013
"""""$100-250 Depeding upon whether it was a pitch or an assigment""""",Contract: ,$100,True,,,ng-hide,,Truthout,,Rights: ,,,2013
,Contract: ,$150,True,,,ng-hide,,Truthout,,Rights: ,,,2013
,Contract: ,$300,True,,,ng-hide,,Truthout,,Rights: ,,,2013
,Contract: ,$0.10,False,,,ng-hide,Platform: digital,Truthout,,Rights: ,news story,~1500,2012
,Contract: No,$0.21,False,Medium reporting,,ng-hide,Platform: digital,Coolhunting,Ongoing/pre-existing relationship with editor or publication,Rights: ,profile or interview,~375,2014
,Contract: No,$0.13,False,Heavy/Investigative reporting,,ng-hide,Platform: digital,Coolhunting,Ongoing/pre-existing relationship with editor or publication,Rights: ,feature,~750,2014
,Contract: ,$0.04,False,,Paid in 1 month ,svg-1,Platform: digital,Submittable,,Rights: First Serial Rights,,1150-word,2018
,Contract: Yes,$0.07,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Submittable,Submission/spec (piece was written prior and then submitted for publication),Rights: Other / I don't know,blog post,750,2018
,Contract: Yes,$0.05,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Submittable,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,blog post,1000,2018
"""The editor was excellent to work with. Payment was on the day of publication. Publication occurred several months after submission.""",Contract: No,$0.05,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Submittable,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,blog post,1000,2017
,Contract: Yes,$0.02,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Homify,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,blog post,600,2017
,Contract: ,$800,True,,,ng-hide,Platform: digital,Bloomberg News,,Rights: ,, news story,2013
,Contract: No,$0.25,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Lifetimedaily.com,Referral (you had a connection who connected you to the editor),Rights: First Serial Rights,blog post,1000,2016
,Contract: Yes,$0.30,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Lifetimedaily.com,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,feature,700,2016
,Contract: Yes,$0.03,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Strange Horizons,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"criticism, review, or arts/entertainment coverage",1200,2017
,Contract: Yes,$0.04,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Strange Horizons,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,"criticism, review, or arts/entertainment coverage",1000,2017
,Contract: Yes,$0.20,False,Little to no reporting,Paid in 6 weeks ,svg-1,Platform: digital,Strange Horizons,Submission/spec (piece was written prior and then submitted for publication),Rights: First Serial Rights,poetry,200,2016
,Contract: ,$30,True,,,ng-hide,,Strange Horizons,,Rights: ,, poetry,2013
"""Very new publication, little ad revenue yet. I suppose I'm in on the ground floor.""","Contract: Verbal or ""handshake"" agreement",$0.13,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-1,Platform: print,Global Canadian,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,news story,750,2018
,"Contract: Verbal or ""handshake"" agreement",$0.14,False,Medium reporting,Paid in 1 month ,svg-2,Platform: print,Global Canadian,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,news story,700,2018
,Contract: No,$0.18,False,Heavy/Investigative reporting,Paid in 3 months ,svg-3,Platform: digital,Gq,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,"opinion, editorial, column or essay",1712,2017
,Contract: Yes,$0.33,False,Heavy/Investigative reporting,Haven't gotten it yet (as of this reporting) ,svg-4,Platform: digital,Gq,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,news story,750,2017
,Contract: Yes,$0.20,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Gq,Cold pitch (no pre-existing relationship),Rights: All rights,news story,500,2016
,Contract: Yes,$2.00,False,Medium reporting,Longer than 3 months ,svg-3,Platform: print,Gq,Assignment (editor came to you),Rights: Other / I don't know,fob,200,2016
,Contract: ,$2.00,False,,,ng-hide,Platform: print,Gq,,Rights: ,,400-word,2013
"""VERY easy to work with.""",Contract: Yes,$0.49,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Medshadow,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,1020,2017
,Contract: ,$0.13,False,,Paid in 15 days ,svg-1,Platform: digital,Londonist,,Rights: All rights,,500-word,2016
,Contract: No,$0.88,False,Heavy/Investigative reporting,Paid in 1 month ,svg-2,Platform: digital,The Ringer,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,feature,4000,2018
"""Absolutely wonderful experience but disappointed that they have work for hire contracts for freelancers and weren't open to negotiation.""",Contract: Yes,$0.50,False,Heavy/Investigative reporting,Paid in 6 weeks ,svg-1,Platform: digital,The Ringer,Cold pitch (no pre-existing relationship),Rights: All rights,feature,5000,2017
,Contract: Yes,$0.58,False,Heavy/Investigative reporting,Paid in 1 month ,svg-3,Platform: digital,The Ringer,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,feature,6000,2017
,Contract: No,$0.50,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,The Ringer,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,2300,2016
,Contract: No,$0.20,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,"Projection, Lights And Staging News",Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,feature,1500,2017
"""Screwed me on payment for an investigative story that took 7 months to research and write, killing it when I asked for a higher rate due to a new editor demanding I start all over, investigating new areas at the last minute.""",Contract: Yes,$0.17,False,Heavy/Investigative reporting,Paid in 1 month ,svg-1,Platform: digital,The Verge,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,news story,3500,2018
"""High-level editor asked me to write a piece, went through edits, never published, no kill fee, nothing.""",Contract: No,$0.00,False,Little to no reporting,,svg-false,Platform: digital,The Verge,Assignment (editor came to you),Rights: Other / I don't know,"opinion, editorial, column or essay",2000,2018
,Contract: Yes,$0.33,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,The Verge,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,3000,2017
"""Editor was fantastic to work with. I had a death in the family the day before deadline and a family emergency day-of. I still filed on time, but she was very generous in offering accommodation. Edits were 100% for a better product, as opposed to editor ego. Would love to work with her and The Verge again.""",Contract: Yes,$0.90,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,The Verge,Cold pitch (no pre-existing relationship),Rights: All rights,news story,885,2017
,Contract: ,,,,,ng-hide,Platform: digital,The Verge,,Rights: ,,,2013
,Contract: ,,,,,ng-hide,,The Verge,,Rights: ,, feature,2013
,Contract: Yes,$0.67,False,Medium reporting,,ng-hide,Platform: digital,Cancer Discovery,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,news story,~750,2014
,"Contract: Verbal or ""handshake"" agreement",$0.07,False,Medium reporting,,ng-hide,Platform: digital,Sfaq,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"criticism, review, or arts/entertainment converage",~750,2015
"""Editor was nice to work with. No to minimal changes. Would gladly write for them again, even if the rate is lower.""",Contract: Yes,$0.22,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Dc Inno,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,news story,810,2017
,Contract: Yes,$0.59,False,Heavy/Investigative reporting,Paid in 2 months ,svg-2,Platform: digital,Leapsmag,Solicited pitch (editor asked you to pitch),Rights: All rights,feature,1700,2018
